Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
POLTK;6327,5;0,52;1,08;2,3;-32
PRDGS;7,26;4,16;11,18;9,5;19,41
PRKAB;64,6;9,96;34,64;109,88;110,7
PRKME;21,32;4,41;1,23;18,77;15,37
PRZMA;11,85;1,8;-8,71;-5,2;4,31
PSDTC;129,6;4,68;4,43;-8,41;-7,82
PSGYO;2,55;0,79;-6,93;-7,94;2,41
QNBFK;55,5;-1,16;-1,16;-7,5;-1,42
QNBTR;292;-2,01;2,82;-9,55;6,18
QUAGR;2,9;7,81;10,27;18,37;1,75
RALYH;173,5;2,91;-7,76;-22,58;-24,14
RAYSG;226;2,36;1,21;4,39;4,63
REEDR;6,78;1,35;-1,88;0;2,57
RGYAS;156,5;2,09;-0,82;11,15;13,57
RNPOL;44,22;3,85;-1,73;15,16;4,29
RODRG;22,5;2,27;2,83;3,97;5,63
RTALB;4,12;1,73;5,1;18,39;20,12
RUBNS;32,12;10;1,45;11,68;38,69
RUZYE;12,66;2,76;0,48;12,04;13,04
RYGYO;30,14;2,52;6,35;24,24;43,52
RYSAS;19,89;0,96;9,53;29,41;36,7
SAFKR;28,36;-2,94;-0,42;11,48;20,78
SAHOL;105,5;2,03;-2,5;13,32;25,22
SAMAT;5,92;2,96;2,96;4,41;-0,17
SANEL;39,32;-7;11,7;2,93;6,5
SANFM;7,34;1,38;-2,13;3,97;1,8
SANKO;22,76;2,71;1,79;9,11;11,9
SARKY;42,36;3,67;1,34;54,04;135,86
SASA;2,53;4,55;-0,39;8,12;-8,99
SAYAS;41,8;4,34;5,03;2,45;6,47
SDTTR;193;-0,72;-3,5;-5,44;8,98
SEGMN;47,84;3,82;24,26;141,62;159,86
SEGYO;4,96;2,69;14,02;-6,24;-4,62
SEKFK;9,94;-3,5;8,63;24,41;24,25
SEKUR;5,12;8,7;45,04;41,44;44,23
SELEC;84,3;4,59;6,64;3,75;-3,1
SELVA;2,59;-1,15;-8,16;-28,45;4,44
SERNT;8,33;2,33;2,84;5,58;6,79
SEYKM;5,27;2,13;-3,3;8,21;4,77
SILVR;2,88;2,13;-1,37;3,23;-2,04
SISE;48,28;1,6;6,44;22,23;25,79
SKBNK;9,75;7,14;11,05;25,81;25,32
SKTAS;3,82;1,87;-2,55;2,96;0,79
SKYLP;309;-2,98;2,32;34,82;23,65
SKYMD;12,28;1,15;0,41;-0,49;4,33
SMART;23,38;2,54;2,19;5,89;7,15
SMRTG;8,01;1,01;1,91;6,94;4,43
SMRVA;66,25;1,69;-4,95;-35,8;-42,44
SNGYO;5,03;4,79;-1,76;1,21;10,79
SNICA;4,49;1,81;8,45;3,46;5,4
SNPAM;24,16;0,67;1,26;-7,79;-0,74
SODSN;12;2,74;-4,84;-5,81;-3,07
SOKE;13,18;1,07;2,01;18,74;27,47
SOKM;64,9;3,76;-0,08;18,54;27,13
SONME;156,1;0,64;-1,45;-14,47;-10,18
SRVGY;3,42;3,64;1,48;-0,58;7,89
SUMAS;296;0;9,63;2,25;5,43
SUNTK;40,58;0,45;0;-1,5;-33,37
SURGY;51,95;0,87;8,68;23,34;18,07
SUWEN;8,68;2;-1,59;-7,66;-11,43
TABGD;256;1,49;-6,23;12,43;22,43
TARKM;415,25;-0,54;-7,1;20,54;27,77
TATEN;10,39;-1,05;-8,05;-4,68;-18,83
TATGD;14,38;2,64;1,34;14,04;22,38
